V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
DONGSHI 	Total	248073	126771	121302	29192	14693	14499	218881	112078	106803	88.23	88.41	88.05
DONGSHI 	Mingguanglu	23481	11925	11556	3295	1644	1651	20186	10281	9905	85.97	86.21	85.71
DONGSHI 	Chezhan	19871	10143	9728	2567	1294	1273	17304	8849	8455	87.08	87.24	86.91
DONGSHI 	Shenglilu	13208	6713	6495	1542	797	745	11666	5916	5750	88.33	88.13	88.53
DONGSHI 	Sanlijie	35914	18426	17488	4591	2327	2264	31323	16099	15224	87.22	87.37	87.05
DONGSHI 	Tonglinglu	41167	20842	20325	4084	1893	2191	37083	18949	18134	90.08	90.92	89.22
DONGSHI 	Qilizhan	29154	14971	14183	2290	1133	1157	26864	13838	13026	92.15	92.43	91.84
DONGSHI 	Hongguang	34166	17565	16601	4650	2376	2274	29516	15189	14327	86.39	86.47	86.30
DONGSHI 	Hepinglu	21591	10938	10653	1767	828	939	19824	10110	9714	91.82	92.43	91.19
DONGSHI 	Datonglu	29521	15248	14273	4406	2401	2005	25115	12847	12268	85.08	84.25	85.95
ZHONGSHI 	Total	242415	124013	118402	29953	15560	14393	212462	108453	104009	87.64	87.45	87.84
ZHONGSHI 	Shouchun	12942	6388	6554	1079	482	597	11863	5906	5957	91.66	92.45	90.89
ZHONGSHI 	Gulou	8010	4040	3970	1012	545	467	6998	3495	3503	87.37	86.51	88.24
ZHONGSHI 	Xiaoyaojin	7779	4085	3694	1519	903	616	6260	3182	3078	80.47	77.89	83.32
ZHONGSHI 	Sanpailou	17213	8388	8825	1099	537	562	16114	7851	8263	93.62	93.60	93.63
ZHONGSHI 	Xianqiao	8788	4437	4351	1029	498	531	7759	3939	3820	88.29	88.78	87.80
ZHONGSHI 	Yimin	28070	14194	13876	2917	1424	1493	25153	12770	12383	89.61	89.97	89.24
ZHONGSHI 	Anqinglu	36716	19860	16856	2768	1433	1335	33948	18427	15521	92.46	92.78	92.08
ZHONGSHI 	Guangming	22726	11354	11372	1520	825	695	21206	10529	10677	93.31	92.73	93.89
ZHONGSHI 	Bozhoulu	36289	18705	17584	6250	3234	3016	30039	15471	14568	82.78	82.71	82.85
ZHONGSHI 	Shuanggang	63882	32562	31320	10760	5679	5081	53122	26883	26239	83.16	82.56	83.78
XISHI 	Total	385139	207665	177474	29372	16527	12845	355767	191138	164629	92.37	92.04	92.76
XISHI 	Sanlian	35728	20571	15157	3751	2138	1613	31977	18433	13544	89.5	89.61	89.36
XISHI 	Chaohulu	21911	11899	10012	3163	2098	1065	18748	9801	8947	85.56	82.37	89.36
XISHI 	Baohe	52526	29646	22880	3460	1922	1538	49066	27724	21342	93.41	93.52	93.28
XISHI 	Wuhulu	48321	24483	23838	3516	1908	1608	44805	22575	22230	92.72	92.21	93.25
XISHI 	Nanqilizhan	53967	27604	26363	4011	2020	1991	49956	25584	24372	92.57	92.68	92.45
XISHI 	Cun	62995	35918	27077	4385	2457	1928	58610	33461	25149	93.04	93.16	92.88
XISHI 	Huposhanzhuang	18410	9416	8994	1497	857	640	16913	8559	8354	91.87	90.90	92.88
XISHI 	Xiyuanxincun	34835	18721	16114	2008	1152	856	32827	17569	15258	94.24	93.85	94.69
XISHI 	Shushanlu	56446	29407	27039	3581	1975	1606	52865	27432	25433	93.66	93.28	94.06
HEFEI JIAOQU 	Total	770390	414634	355756	418294	219340	198954	352096	195294	156802	45.70	47.10	44.08
HEFEI JIAOQU 	Xinghuacun	111033	62156	48877	52320	27373	24947	58713	34783	23930	52.88	55.96	48.96
HEFEI JIAOQU 	Qilitang	40016	20840	19176	25944	13278	12666	14072	7562	6510	35.17	36.29	33.95
HEFEI JIAOQU 	Changqing	158534	86251	72283	69517	36536	32981	89017	49715	39302	56.15	57.64	54.37
HEFEI JIAOQU 	Daxing	35840	19119	16721	17098	8201	8897	18742	10918	7824	52.29	57.11	46.79
HEFEI JIAOQU 	Dayang	25168	12602	12566	19838	9933	9905	5330	2669	2661	21.18	21.18	21.18
HEFEI JIAOQU 	Luogang	72065	37656	34409	37054	19062	17992	35011	18594	16417	48.58	49.38	47.71
HEFEI JIAOQU 	Yixing	34622	18248	16374	18350	9449	8901	16272	8799	7473	47	48.22	45.64
HEFEI JIAOQU 	Yicheng	24436	12921	11515	22520	11553	10967	1916	1368	548	7.84	10.59	4.76
HEFEI JIAOQU 	Chengdong	72876	39335	33541	42387	22714	19673	30489	16621	13868	41.84	42.25	41.35
HEFEI JIAOQU 	Daxu	22336	11760	10576	20687	10630	10057	1649	1130	519	7.38	9.61	4.91
HEFEI JIAOQU 	Sanshigang	11700	6047	5653	11121	5674	5447	579	373	206	4.95	6.17	3.64
HEFEI JIAOQU 	Xinzhanzonghekaifashiyanqu	30323	17281	13042	11008	7135	3873	19315	10146	9169	63.70	58.71	70.30
HEFEI JIAOQU 	Gaoxinjishuchanyekaifaqu	97130	51714	45416	41284	22055	19229	55846	29659	26187	57.5	57.35	57.66
HEFEI JIAOQU 	Jingjijishukaifaqu	34311	18704	15607	29166	15747	13419	5145	2957	2188	15	15.81	14.02
CHANGFENG 	Total	892487	464098	428389	826692	426264	400428	65795	37834	27961	7.37	8.15	6.53
CHANGFENG 	Shuihu	65577	34345	31232	38265	19915	18350	27312	14430	12882	41.65	42.01	41.25
CHANGFENG 	Caoan	29898	15717	14181	28978	15167	13811	920	550	370	3.08	3.5	2.61
CHANGFENG 	Yanggong	29623	15377	14246	28053	14394	13659	1570	983	587	5.30	6.39	4.12
CHANGFENG 	Zhuangmu	22663	11740	10923	21699	11167	10532	964	573	391	4.25	4.88	3.58
CHANGFENG 	Yangmiao	35641	18454	17187	33799	17363	16436	1842	1091	751	5.17	5.91	4.37
CHANGFENG 	Wushan	41552	21672	19880	38472	19887	18585	3080	1785	1295	7.41	8.24	6.51
CHANGFENG 	Gangji	27193	14059	13134	25417	12962	12455	1776	1097	679	6.53	7.80	5.17
CHANGFENG 	Shuangdun	38036	19808	18228	34734	17812	16922	3302	1996	1306	8.68	10.08	7.16
CHANGFENG 	Xiatang	41524	21264	20260	35443	17865	17578	6081	3399	2682	14.64	15.98	13.24
CHANGFENG 	Zhuxang	38627	20127	18500	36375	18746	17629	2252	1381	871	5.83	6.86	4.71
CHANGFENG 	Kongdian	44290	23372	20918	43224	22698	20526	1066	674	392	2.41	2.88	1.87
CHANGFENG 	Zhangci	28425	14688	13737	28160	14512	13648	265	176	89	0.93	1.20	0.65
CHANGFENG 	Xumiao	26260	13618	12642	25817	13306	12511	443	312	131	1.69	2.29	1.04
CHANGFENG 	Luotang	34941	18111	16830	34211	17616	16595	730	495	235	2.09	2.73	1.40
CHANGFENG 	Sunmiao	19108	9687	9421	18633	9385	9248	475	302	173	2.49	3.12	1.84
CHANGFENG 	Shiyuan	18174	9373	8801	17817	9127	8690	357	246	111	1.96	2.62	1.26
CHANGFENG 	Sanhe	27831	14791	13040	27098	14310	12788	733	481	252	2.63	3.25	1.93
CHANGFENG 	Guduihuizu	14134	7474	6660	13759	7234	6525	375	240	135	2.65	3.21	2.03
CHANGFENG 	Yijing	41357	21518	19839	40493	20946	19547	864	572	292	2.09	2.66	1.47
CHANGFENG 	Tushan	26341	13725	12616	25622	13271	12351	719	454	265	2.73	3.31	2.10
CHANGFENG 	Xiadian	19272	10019	9253	18744	9689	9055	528	330	198	2.74	3.29	2.14
CHANGFENG 	Sanshitou	30784	15839	14945	29306	14892	14414	1478	947	531	4.80	5.98	3.55
CHANGFENG 	Luoji	14945	7580	7365	14364	7215	7149	581	365	216	3.89	4.82	2.93
CHANGFENG 	Buli	21426	11043	10383	20728	10584	10144	698	459	239	3.26	4.16	2.30
CHANGFENG 	Taohu	18886	9737	9149	18358	9400	8958	528	337	191	2.80	3.46	2.09
CHANGFENG 	Taolou	24943	12773	12170	24218	12302	11916	725	471	254	2.91	3.69	2.09
CHANGFENG 	Zaojia	29528	15317	14211	28555	14681	13874	973	636	337	3.30	4.15	2.37
CHANGFENG 	Duji	26985	14139	12846	25826	13370	12456	1159	769	390	4.29	5.44	3.04
CHANGFENG 	Peihe	21966	11627	10339	21441	11271	10170	525	356	169	2.39	3.06	1.63
CHANGFENG 	Zuodian	26657	13985	12672	25772	13408	12364	885	577	308	3.32	4.13	2.43
CHANGFENG 	Shuangfenggongyequ	5900	3119	2781	3311	1769	1542	2589	1350	1239	43.88	43.28	44.55
FEIDONG 	Total	1001306	521508	479798	894813	459161	435652	106493	62347	44146	10.64	11.96	9.20
FEIDONG 	Dianbu	104476	54259	50217	58302	30033	28269	46174	24226	21948	44.20	44.65	43.71
FEIDONG 	Cuo	37311	19363	17948	27434	13744	13690	9877	5619	4258	26.47	29.02	23.72
FEIDONG 	Liangyuan	35110	18428	16682	29989	15387	14602	5121	3041	2080	14.59	16.5	12.47
FEIDONG 	Qiaotouji	31105	16270	14835	24575	12092	12483	6530	4178	2352	20.99	25.68	15.85
FEIDONG 	Changlinhe	26244	13409	12835	24313	12091	12222	1931	1318	613	7.36	9.83	4.78
FEIDONG 	Xishanyi	34179	17648	16531	32963	16817	16146	1216	831	385	3.56	4.71	2.33
FEIDONG 	Shitang	34679	17531	17148	32365	16077	16288	2314	1454	860	6.67	8.29	5.02
FEIDONG 	Gucheng	13853	7407	6446	12925	6802	6123	928	605	323	6.70	8.17	5.01
FEIDONG 	Badou	30209	16070	14139	28838	15173	13665	1371	897	474	4.54	5.58	3.35
FEIDONG 	Yuantuan	27450	14355	13095	26730	13838	12892	720	517	203	2.62	3.60	1.55
FEIDONG 	Bailong	35282	18626	16656	33683	17554	16129	1599	1072	527	4.53	5.76	3.16
FEIDONG 	Longgang	23456	12155	11301	21322	10827	10495	2134	1328	806	9.10	10.93	7.13
FEIDONG 	Liujiafan	16901	8482	8419	16034	7907	8127	867	575	292	5.13	6.78	3.47
FEIDONG 	Fuxing	22985	11776	11209	21684	10913	10771	1301	863	438	5.66	7.33	3.91
FEIDONG 	Changle	22284	11440	10844	20845	10422	10423	1439	1018	421	6.46	8.90	3.88
FEIDONG 	Longtang	18366	9438	8928	16924	8428	8496	1442	1010	432	7.85	10.70	4.84
FEIDONG 	Modian	23173	12148	11025	21820	11342	10478	1353	806	547	5.84	6.63	4.96
FEIDONG 	Zhongxing	29364	15284	14080	28542	14689	13853	822	595	227	2.80	3.89	1.61
FEIDONG 	Wangtie	25315	13085	12230	24132	12260	11872	1183	825	358	4.67	6.30	2.93
FEIDONG 	Jieji	30334	15253	15081	29315	14536	14779	1019	717	302	3.36	4.70	2
FEIDONG 	Gaoliang	22463	11634	10829	21703	11087	10616	760	547	213	3.38	4.70	1.97
FEIDONG 	Hucheng	17829	9472	8357	17546	9276	8270	283	196	87	1.59	2.07	1.04
FEIDONG 	Lukou	18501	9497	9004	17829	9011	8818	672	486	186	3.63	5.12	2.07
FEIDONG 	Zhangji	27916	14700	13216	27179	14155	13024	737	545	192	2.64	3.71	1.45
FEIDONG 	Caomiao	21623	11283	10340	20947	10789	10158	676	494	182	3.13	4.38	1.76
FEIDONG 	Yangtang	27163	14444	12719	26381	13897	12484	782	547	235	2.88	3.79	1.85
FEIDONG 	Mahu	24890	13197	11693	24226	12737	11489	664	460	204	2.67	3.49	1.74
FEIDONG 	Chenji	25563	13587	11976	25098	13235	11863	465	352	113	1.82	2.59	0.94
FEIDONG 	Guangxing	9772	5112	4660	9445	4885	4560	327	227	100	3.35	4.44	2.15
FEIDONG 	Xiangdao	32806	17408	15398	32163	16949	15214	643	459	184	1.96	2.64	1.19
FEIDONG 	Yangdian	30967	16225	14742	30195	15651	14544	772	574	198	2.49	3.54	1.34
FEIDONG 	Fuwang	18634	9854	8780	18227	9542	8685	407	312	95	2.18	3.17	1.08
FEIDONG 	Wangcheng	17497	9229	8268	17081	8915	8166	416	314	102	2.38	3.40	1.23
FEIDONG 	Qinglong	20979	10813	10166	20396	10404	9992	583	409	174	2.78	3.78	1.71
FEIDONG 	Feiji	12726	6620	6106	12360	6360	6000	366	260	106	2.88	3.93	1.74
FEIDONG 	Paifanghuizumanzu	14455	7389	7066	14155	7178	6977	300	211	89	2.08	2.86	1.26
FEIDONG 	Longshan	14265	7584	6681	14041	7406	6635	224	178	46	1.57	2.35	0.69
FEIDONG 	Longgangkaifaqu	21181	11033	10148	13106	6752	6354	8075	4281	3794	38.12	38.80	37.39
FEIXI 	Total	901593	473374	428219	803515	418395	385120	98078	54979	43099	10.88	11.61	10.06
FEIXI 	Shangpai	90138	47003	43135	49096	25622	23474	41042	21381	19661	45.53	45.49	45.58
FEIXI 	Sanhe	16916	8629	8287	6423	3114	3309	10493	5515	4978	62.03	63.91	60.07
FEIXI 	Taohua	18083	9466	8617	17521	9126	8395	562	340	222	3.11	3.59	2.58
FEIXI 	Huagang	26341	13862	12479	24203	12642	11561	2138	1220	918	8.12	8.80	7.36
FEIXI 	Gaoliu	38544	20097	18447	36007	18602	17405	2537	1495	1042	6.58	7.44	5.65
FEIXI 	Guanting	31617	16383	15234	28348	14538	13810	3269	1845	1424	10.34	11.26	9.35
FEIXI 	Xiaomiao	36687	18947	17740	32642	16671	15971	4045	2276	1769	11.03	12.01	9.97
FEIXI 	Shannan	33538	17397	16141	29736	15294	14442	3802	2103	1699	11.34	12.09	10.53
FEIXI 	Fengle	36660	19627	17033	34570	18362	16208	2090	1265	825	5.70	6.45	4.84
FEIXI 	Nangang	32370	16962	15408	29828	15375	14453	2542	1587	955	7.85	9.36	6.20
FEIXI 	Nongxing	37891	20227	17664	36152	19176	16976	1739	1051	688	4.59	5.20	3.89
FEIXI 	Xincang	15371	8095	7276	14331	7490	6841	1040	605	435	6.77	7.47	5.98
FEIXI 	Changgang	27890	14529	13361	27005	13939	13066	885	590	295	3.17	4.06	2.21
FEIXI 	Gaodian	36940	19399	17541	35720	18613	17107	1220	786	434	3.30	4.05	2.47
FEIXI 	Jiangxiadian	30030	15711	14319	28886	14962	13924	1144	749	395	3.81	4.77	2.76
FEIXI 	Nanfenlu	20596	10664	9932	19818	10189	9629	778	475	303	3.78	4.45	3.05
FEIXI 	Juxing	16991	8892	8099	16339	8481	7858	652	411	241	3.84	4.62	2.98
FEIXI 	Yandun	39401	21108	18293	38017	20153	17864	1384	955	429	3.51	4.52	2.35
FEIXI 	Beizhang	26578	14233	12345	25963	13844	12119	615	389	226	2.31	2.73	1.83
FEIXI 	Shishugang	29026	15097	13929	27910	14395	13515	1116	702	414	3.84	4.65	2.97
FEIXI 	Yuandian	20501	10570	9931	19796	10117	9679	705	453	252	3.44	4.29	2.54
FEIXI 	Sunji	31549	16704	14845	30543	16059	14484	1006	645	361	3.19	3.86	2.43
FEIXI 	Yandian	26223	13993	12230	25157	13316	11841	1066	677	389	4.07	4.84	3.18
FEIXI 	Qingping	34073	18171	15902	33039	17534	15505	1034	637	397	3.03	3.51	2.5
FEIXI 	Dabai	19598	10214	9384	18939	9804	9135	659	410	249	3.36	4.01	2.65
FEIXI 	Jinniu	17131	8844	8287	16562	8483	8079	569	361	208	3.32	4.08	2.51
FEIXI 	Hongqiao	16704	8581	8123	16238	8297	7941	466	284	182	2.79	3.31	2.24
FEIXI 	Sihe	20337	10554	9783	19570	10066	9504	767	488	279	3.77	4.62	2.85
FEIXI 	Donggang	23261	12205	11056	22511	11723	10788	750	482	268	3.22	3.95	2.42
FEIXI 	Jinqiao	18811	9702	9109	17909	9187	8722	902	515	387	4.80	5.31	4.25
FEIXI 	Liuhe	19929	10692	9237	19207	10185	9022	722	507	215	3.62	4.74	2.33
FEIXI 	Taohuagongyeyuanqu	11868	6816	5052	5529	3036	2493	6339	3780	2559	53.41	55.46	50.65
JINGHU 	Total	179495	89528	89967	22221	10881	11340	157274	78647	78627	87.62	87.85	87.40
JINGHU 	Dongmen	32551	15843	16708	1933	835	1098	30618	15008	15610	94.06	94.73	93.43
JINGHU 	Zhongjiang	21476	10606	10870	1224	538	686	20252	10068	10184	94.30	94.93	93.69
JINGHU 	Beimen	38947	19090	19857	3940	1495	2445	35007	17595	17412	89.88	92.17	87.69
JINGHU 	Jinghu	18786	9442	9344	2228	1374	854	16558	8068	8490	88.14	85.45	90.86
JINGHU 	Zheshan	36980	18291	18689	3338	1590	1748	33642	16701	16941	90.97	91.31	90.65
JINGHU 	Zhelu	30755	16256	14499	9558	5049	4509	21197	11207	9990	68.92	68.94	68.90
MATANG 	Total	119165	60880	58285	40420	20040	20380	78745	40840	37905	66.08	67.08	65.03
MATANG 	Yijiangqiao	27472	13887	13585	2665	1173	1492	24807	12714	12093	90.30	91.55	89.02
MATANG 	Zhongshannanlu	24278	12179	12099	3342	1528	1814	20936	10651	10285	86.23	87.45	85.01
