V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
GULOU 	Total	152505	100	47608	31.22	81729	53.59	22559	14.79	608	0.40	1	          
GULOU 	Gudong	10869	100	3317	30.52	5661	52.08	1844	16.97	47	0.43	          	          
GULOU 	Guxi	16364	100	4893	29.90	8756	53.51	2642	16.15	73	0.45	          	          
GULOU 	Wenquan	13369	100	3815	28.54	7218	53.99	2272	16.99	64	0.48	          	          
GULOU 	Dongjie	8391	100	2384	28.41	4429	52.78	1536	18.31	42	0.5	          	          
GULOU 	Nanjie	16207	100	4824	29.76	8739	53.92	2579	15.91	65	0.40	          	          
GULOU 	Antai	8660	100	2556	29.52	4579	52.88	1493	17.24	32	0.37	          	          
GULOU 	Huada	18912	100	5892	31.15	10145	53.64	2795	14.78	80	0.42	          	          
GULOU 	Shuibu	9597	100	2766	28.82	5100	53.14	1670	17.40	61	0.64	          	          
GULOU 	Wufeng	21000	100	6742	32.10	11892	56.63	2326	11.08	40	0.19	          	          
GULOU 	Hongshan	29136	100	10419	35.76	15210	52.20	3402	11.68	104	0.36	1	          
TAIJIANG 	Total	107900	100	29807	27.62	58525	54.24	19167	17.76	400	0.37	1	          
TAIJIANG 	Yingzhou	15141	100	4772	31.52	8110	53.56	2212	14.61	47	0.31	          	          
TAIJIANG 	Houzhou	4124	100	1083	26.26	2210	53.59	806	19.54	25	0.61	          	          
TAIJIANG 	Yizhou	10641	100	2567	24.12	5940	55.82	2087	19.61	47	0.44	          	          
TAIJIANG 	Xingang	11821	100	3452	29.20	6289	53.20	2029	17.16	51	0.43	          	          
TAIJIANG 	Shanghai	18738	100	4842	25.84	10511	56.09	3321	17.72	64	0.34	          	          
TAIJIANG 	Shuanghang	6229	100	1618	25.98	3211	51.55	1372	22.03	28	0.45	          	          
TAIJIANG 	Cangxia	3187	100	862	27.05	1622	50.89	690	21.65	13	0.41	          	          
TAIJIANG 	Bangzhou	5304	100	1174	22.13	2956	55.73	1154	21.76	20	0.38	          	          
TAIJIANG 	Chating	9432	100	2564	27.18	5149	54.59	1691	17.93	28	0.30	          	          
TAIJIANG 	Yangzhong	8831	100	2521	28.55	4645	52.60	1623	18.38	41	0.46	1	0.01
TAIJIANG 	Aofeng	6877	100	2255	32.79	3688	53.63	914	13.29	20	0.29	          	          
TAIJIANG 	Ninghua	7575	100	2097	27.68	4194	55.37	1268	16.74	16	0.21	          	          
CANGSHAN 	Total	111321	100	28918	25.98	60569	54.41	21078	18.93	756	0.68	          	          
CANGSHAN 	Cangqian	6650	100	1745	26.24	3493	52.53	1370	20.60	42	0.63	          	          
CANGSHAN 	Dongsheng	2294	100	622	27.11	1263	55.06	396	17.26	13	0.57	          	          
CANGSHAN 	Duihu	5736	100	1595	27.81	3084	53.77	1025	17.87	32	0.56	          	          
CANGSHAN 	Linjiang	5245	100	1357	25.87	2883	54.97	980	18.68	25	0.48	          	          
CANGSHAN 	Sanchajie	6153	100	1820	29.58	3245	52.74	1050	17.06	38	0.62	          	          
CANGSHAN 	Shangdu	2779	100	751	27.02	1555	55.96	459	16.52	14	0.5	          	          
CANGSHAN 	Xiadu	9764	100	2479	25.39	5397	55.27	1839	18.83	49	0.5	          	          
CANGSHAN 	Cangshan	8804	100	2545	28.91	4745	53.90	1464	16.63	50	0.57	          	          
CANGSHAN 	Chengmen	21248	100	4742	22.32	12088	56.89	4282	20.15	136	0.64	          	          
CANGSHAN 	Gaishan	22368	100	5424	24.25	12305	55.01	4477	20.02	162	0.72	          	          
